Runtime,Processor,MatrixSize,MatrixOperation,Trial
11.45187831,GPU,1280,Invertion,4
11.45984387,GPU,1280,Invertion,5
41.76211095,GPU,2560,Invertion,1
41.83813953,GPU,2560,Invertion,2
41.78711295,GPU,2560,Invertion,3
41.85825253,GPU,2560,Invertion,4
41.8142066,GPU,2560,Invertion,5
0.004732847,TPU,10,Addition,1
0.00659585,TPU,10,Addition,2
0.004762411,TPU,10,Addition,3
0.004580259,TPU,10,Addition,4
0.004661798,TPU,10,Addition,5
0.004890203,TPU,20,Addition,1
0.004884481,TPU,20,Addition,2
0.004809618,TPU,20,Addition,3
0.004830837,TPU,20,Addition,4
0.006026745,TPU,20,Addition,5
0.004893541,TPU,40,Addition,1
0.007666111,TPU,40,Addition,2
0.006231308,TPU,40,Addition,3
0.00495553,TPU,40,Addition,4
0.00521946,TPU,40,Addition,5
0.009574413,TPU,80,Addition,1
0.006096601,TPU,80,Addition,2
0.004938126,TPU,80,Addition,3
0.005182743,TPU,80,Addition,4
0.004791021,TPU,80,Addition,5
0.004870176,TPU,160,Addition,1
0.004971027,TPU,160,Addition,2
0.007506371,TPU,160,Addition,3
0.005704403,TPU,160,Addition,4
0.005309105,TPU,160,Addition,5
0.004802465,TPU,320,Addition,1
0.004835129,TPU,320,Addition,2
0.004721403,TPU,320,Addition,3
0.004740477,TPU,320,Addition,4
0.00542593,TPU,320,Addition,5
0.004768372,TPU,640,Addition,1
0.004792452,TPU,640,Addition,2
0.004734516,TPU,640,Addition,3
0.00561738,TPU,640,Addition,4
0.004827738,TPU,640,Addition,5
0.00482583,TPU,1280,Addition,1
0.008559704,TPU,1280,Addition,2
0.009112597,TPU,1280,Addition,3
0.006001472,TPU,1280,Addition,4
0.004752398,TPU,1280,Addition,5
0.004836082,TPU,2560,Addition,1
0.00475955,TPU,2560,Addition,2
0.004689932,TPU,2560,Addition,3
0.004836559,TPU,2560,Addition,4
0.004698753,TPU,2560,Addition,5
0.003074169,TPU,10,Multiplication,1
0.004003048,TPU,10,Multiplication,2
0.002987862,TPU,10,Multiplication,3
0.003744841,TPU,10,Multiplication,4
0.002981901,TPU,10,Multiplication,5
0.002958298,TPU,20,Multiplication,1
0.002847195,TPU,20,Multiplication,2
0.002870321,TPU,20,Multiplication,3
0.002861977,TPU,20,Multiplication,4
0.002814054,TPU,20,Multiplication,5
0.002965212,TPU,40,Multiplication,1
0.002985716,TPU,40,Multiplication,2
0.002880812,TPU,40,Multiplication,3
0.002977133,TPU,40,Multiplication,4
0.003998995,TPU,40,Multiplication,5
0.004498005,TPU,80,Multiplication,1
0.004730225,TPU,80,Multiplication,2
0.003031254,TPU,80,Multiplication,3
0.005091906,TPU,80,Multiplication,4
0.00295496,TPU,80,Multiplication,5
0.003142595,TPU,160,Multiplication,1
0.002988815,TPU,160,Multiplication,2
0.002924681,TPU,160,Multiplication,3
0.002961636,TPU,160,Multiplication,4
