"Runtime","Processor","MatrixSize","MatrixOperation","Trial"
1.05130529403687,"CPU",80,"Inversion",3
1.04806113243103,"CPU",80,"Inversion",4
1.03956007957458,"CPU",80,"Inversion",5
3.9310200214386,"CPU",160,"Inversion",1
3.92932438850403,"CPU",160,"Inversion",2
3.93062376976013,"CPU",160,"Inversion",3
3.97258734703064,"CPU",160,"Inversion",4
3.93560004234314,"CPU",160,"Inversion",5
19.6398749351501,"CPU",320,"Inversion",1
19.5080122947693,"CPU",320,"Inversion",2
19.4110496044159,"CPU",320,"Inversion",3
19.7135608196259,"CPU",320,"Inversion",4
19.4613802433014,"CPU",320,"Inversion",5
130.631718397141,"CPU",640,"Inversion",1
130.78005361557,"CPU",640,"Inversion",2
129.128158807755,"CPU",640,"Inversion",3
128.524759292603,"CPU",640,"Inversion",4
128.456428289413,"CPU",640,"Inversion",5
912.797386407852,"CPU",1280,"Inversion",1
906.217644691467,"CPU",1280,"Inversion",2
913.792866706848,"CPU",1280,"Inversion",3
902.302267551422,"CPU",1280,"Inversion",4
905.276507854462,"CPU",1280,"Inversion",5
0.068284273147583,"GPU",10,"Addition",1
0.0681686401367188,"GPU",10,"Addition",2
0.0708858966827393,"GPU",10,"Addition",3
0.0732479095458984,"GPU",10,"Addition",4
0.0681564807891846,"GPU",10,"Addition",5
0.0701889991760254,"GPU",20,"Addition",1
0.0722401142120361,"GPU",20,"Addition",2
0.0761947631835938,"GPU",20,"Addition",3
0.0709874629974365,"GPU",20,"Addition",4
0.069793701171875,"GPU",20,"Addition",5
0.0711722373962402,"GPU",40,"Addition",1
0.0689013004302979,"GPU",40,"Addition",2
0.0724143981933594,"GPU",40,"Addition",3
0.0700652599334717,"GPU",40,"Addition",4
0.0709857940673828,"GPU",40,"Addition",5
0.0711183547973633,"GPU",80,"Addition",1
0.0722048282623291,"GPU",80,"Addition",2
0.0734694004058838,"GPU",80,"Addition",3
0.0702593326568604,"GPU",80,"Addition",4
0.0710453987121582,"GPU",80,"Addition",5
0.0687789916992188,"GPU",160,"Addition",1
0.0677075386047363,"GPU",160,"Addition",2
0.0712740421295166,"GPU",160,"Addition",3
0.0673625469207764,"GPU",160,"Addition",4
0.0728058815002441,"GPU",160,"Addition",5
0.0677416324615479,"GPU",320,"Addition",1
0.071768045425415,"GPU",320,"Addition",2
0.070157527923584,"GPU",320,"Addition",3
0.0724911689758301,"GPU",320,"Addition",4
0.0704267024993896,"GPU",320,"Addition",5
0.0875132083892822,"GPU",640,"Addition",1
0.0875179767608643,"GPU",640,"Addition",2
0.0872068405151367,"GPU",640,"Addition",3
0.0871825218200684,"GPU",640,"Addition",4
0.0873215198516846,"GPU",640,"Addition",5
0.513181209564209,"GPU",1280,"Addition",1
0.512414693832397,"GPU",1280,"Addition",2
0.512449502944946,"GPU",1280,"Addition",3
0.512748003005981,"GPU",1280,"Addition",4
0.512008428573608,"GPU",1280,"Addition",5
0.0972301959991455,"GPU",10,"Multiplication",1
0.0869512557983398,"GPU",10,"Multiplication",2
0.0823905467987061,"GPU",10,"Multiplication",3
0.0877206325531006,"GPU",10,"Multiplication",4
0.0864367485046387,"GPU",10,"Multiplication",5
0.0881011486053467,"GPU",20,"Multiplication",1
0.0861155986785889,"GPU",20,"Multiplication",2
0.088503360748291,"GPU",20,"Multiplication",3
0.0870656967163086,"GPU",20,"Multiplication",4
0.0920279026031494,"GPU",20,"Multiplication",5
0.0835278034210205,"GPU",40,"Multiplication",1
0.0898363590240479,"GPU",40,"Multiplication",2
0.083885669708252,"GPU",40,"Multiplication",3
0.0863568782806396,"GPU",40,"Multiplication",4
0.0841023921966553,"GPU",40,"Multiplication",5
0.0942022800445557,"GPU",80,"Multiplication",1
0.0913100242614746,"GPU",80,"Multiplication",2
0.0890352725982666,"GPU",80,"Multiplication",3
0.0944952964782715,"GPU",80,"Multiplication",4
0.0936441421508789,"GPU",80,"Multiplication",5
0.0926852226257324,"GPU",160,"Multiplication",1
0.091252326965332,"GPU",160,"Multiplication",2
0.0868656635284424,"GPU",160,"Multiplication",3
0.0878098011016846,"GPU",160,"Multiplication",4
0.0864601135253906,"GPU",160,"Multiplication",5
0.221916675567627,"GPU",320,"Multiplication",1
0.225244760513306,"GPU",320,"Multiplication",2
0.228626728057861,"GPU",320,"Multiplication",3
0.230156421661377,"GPU",320,"Multiplication",4
0.225228548049927,"GPU",320,"Multiplication",5
1.19909429550171,"GPU",640,"Multiplication",1
1.20277667045593,"GPU",640,"Multiplication",2
1.20583033561707,"GPU",640,"Multiplication",3
1.2152271270752,"GPU",640,"Multiplication",4
1.21792197227478,"GPU",640,"Multiplication",5
9.88725447654724,"GPU",1280,"Multiplication",1
10.057238817215,"GPU",1280,"Multiplication",2
10.3262541294098,"GPU",1280,"Multiplication",3
10.6538965702057,"GPU",1280,"Multiplication",4
10.7433087825775,"GPU",1280,"Multiplication",5
